1,2
7,8,9,11
16,17,18,19
1,2
7,8,9,11
16,17,18,19
2,3,18,19
8,9,10,12
17,18,19,20
2,3,19,20
8,9,10,12
17,18,19,20
2,3,19,20
2,3,19,20
8,9,10,12
17,18,19,20
1,2
7,8,9,11
16,17,18,19
2,3,18,19
8,9,10,12
17,18,19,20
2,3,19,20
8,9,10,12
17,18,19,20
2,3,19,20
2,3,19,20
8,9,10,12
17,18,19,20
1,2,19,20
7,8,9,11
16,17,18,19
1,2,18,19
7,8,9,11
16,17,18,19
1,2,18,19
1,2,18,19
7,8,9,11
16,17,18,19
1,2,18,19
7,8,9,11
16,17,18,19
1,2,18,19
1,2,18,19
7,8,9,11
16,17,18,19
1,2,18,19
7,8,9,11
16,17,18,19
1,2
7,8,9,11
16,17,18,19
2,3,18,19
8,9,10,12
17,18,19,20
2,3,19,20
8,9,10,12
17,18,19,20
2,3,19,20
2,3,19,20
8,9,10,12
17,18,19,20
1,2,19,20
7,8,9,11
16,17,18,19
1,2,18,19
7,8,9,11
16,17,18,19
1,2,18,19
1,2,18,19
7,8,9,11
16,17,18,19
1,2,18,19
7,8,9,11
16,17,18,19
1,2,18,19
1,2,18,19
7,8,9,11
16,17,18,19
1,2,18,19
7,8,9,11
16,17,18,19
1,2,18,19
7,8,9,11
16,17,18,19
1,2,18,19
7,8,9,11
16,17,18,19
1,2,18,19
1,2,18,19
7,8,9,11
16,17,18,19
1,2,18,19
7,8,9,11
16,17,18,19
1,2,18,19
1,2,18,19
7,8,9,11
16,17,18,19
1,2,18,19
7,8,9,11
16,17,18,19
1,2,18,19
7,8,9,11
16,17,18,19
1,2,18,19
1,2,18,19
7,8,9,11
16,17,18,19
1,2,18,19
7,8,9,11
16,17,18,19
1,2,18,19
7,8,9,11
16,17,18,19
