1,2
7,8
8,9
9,11
16,17
17,18
18,19
2,3
8,9
9,10
10,12
17,18
18,19
19,20
2,3
8,9
9,10
10,12
17,18
18,19
19,20
2,3
2,3
8,9
9,10
10,12
17,18
18,19
19,20
1,2
7,8
8,9
9,11
16,17
17,18
18,19
1,2
7,8
8,9
9,11
16,17
17,18
18,19
1,2
1,2
7,8
8,9
9,11
16,17
17,18
18,19
1,2
7,8
8,9
9,11
16,17
17,18
18,19
1,2
1,2
7,8
8,9
9,11
16,17
17,18
18,19
1,2
7,8
8,9
9,11
16,17
17,18
18,19
1,2
7,8
8,9
9,11
16,17
17,18
18,19
1,2
7,8
8,9
9,11
16,17
17,18
18,19
1,2
1,2
7,8
8,9
9,11
16,17
17,18
18,19
1,2
7,8
8,9
9,11
16,17
17,18
18,19
1,2
1,2
7,8
8,9
9,11
16,17
17,18
18,19
1,2
7,8
8,9
9,11
16,17
17,18
18,19
1,2
7,8
8,9
9,11
16,17
17,18
18,19
1,2
1,2
7,8
8,9
9,11
16,17
17,18
18,19
1,2
7,8
8,9
9,11
16,17
17,18
18,19
1,2
7,8
8,9
9,11
16,17
17,18
18,19
